,Измерение,f,U,UdivU,R(Ом),L(mГн),C(нФ)
0,1,1.7,1.0,0.29411764705882354,2.46,1.48,99.0
1,2,2.0,1.2,0.35294117647058826,,,
2,3,2.5,1.5,0.4411764705882353,,,
3,4,3.0,1.8,0.5294117647058824,,,
4,5,3.48,2.0,0.5882352941176471,,,
5,6,4.0,2.2,0.6470588235294118,,,
6,7,4.52,2.4,0.7058823529411765,,,
7,8,5.0,2.6,0.7647058823529412,,,
8,9,5.57,2.7,0.7941176470588236,,,
9,10,6.0,2.8,0.8235294117647058,,,
10,11,6.5,2.9,0.8529411764705882,,,
11,12,7.0,3.0,0.8823529411764706,,,
12,13,7.6,3.1,0.911764705882353,,,
13,14,8.0,3.2,0.9411764705882354,,,
14,15,8.5,3.2,0.9411764705882354,,,
15,16,9.1,3.3,0.9705882352941176,,,
16,17,9.5,3.3,0.9705882352941176,,,
17,18,10.0,3.4,1.0,,,
18,19,10.5,3.4,1.0,,,
19,20,11.0,3.4,1.0,,,
20,21,11.5,3.4,1.0,,,
21,22,12.0,3.4,1.0,,,
22,23,13.0,3.4,1.0,,,
23,24,13.5,3.4,1.0,,,
24,25,14.0,3.4,1.0,,,
25,26,15.0,3.4,1.0,,,
26,27,16.0,3.4,1.0,,,
27,28,17.0,3.38,0.9941176470588236,,,
28,29,18.0,3.3,0.9705882352941176,,,
29,30,19.0,3.25,0.9558823529411765,,,
30,31,20.0,3.2,0.9411764705882354,,,
31,32,21.0,3.2,0.9411764705882354,,,
32,33,22.0,3.2,0.9411764705882354,,,
33,34,23.0,3.1,0.911764705882353,,,
34,35,24.0,3.05,0.8970588235294117,,,
35,36,25.0,3.0,0.8823529411764706,,,
36,37,26.0,3.0,0.8823529411764706,,,
37,38,27.0,2.9,0.8529411764705882,,,
38,39,28.0,2.8,0.8235294117647058,,,
39,40,29.0,2.8,0.8235294117647058,,,
40,41,30.0,2.8,0.8235294117647058,,,
41,42,32.0,2.7,0.7941176470588236,,,
42,43,34.0,2.6,0.7647058823529412,,,
43,44,36.0,2.5,0.7352941176470589,,,
44,45,38.0,2.4,0.7058823529411765,,,
45,46,40.0,2.3,0.676470588235294,,,
46,47,42.0,2.2,0.6470588235294118,,,
47,48,44.0,2.2,0.6470588235294118,,,
48,49,47.0,2.1,0.6176470588235294,,,
49,50,50.0,2.0,0.5882352941176471,,,
50,51,60.0,1.7,0.5,,,
51,52,70.0,1.5,0.4411764705882353,,,
52,53,80.0,1.3,0.3823529411764706,,,
53,54,90.0,1.2,0.35294117647058826,,,
54,55,100.0,1.05,0.3088235294117647,,,
55,56,110.0,1.0,0.29411764705882354,,,
56,57,150.0,0.7,0.20588235294117646,,,
57,58,200.0,0.58,0.17058823529411765,,,
58,59,250.0,0.4,0.11764705882352942,,,
59,60,300.0,0.4,0.11764705882352942,,,
